#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.87e+01    2.15e+01      8.37e-02    9.67e-02      5.93e-01    6.81e-01    1.0e-03
   1000      8.46e+00    8.60e+00      7.53e-02    8.82e-02      2.67e-01    2.72e-01    1.0e-03
   2000      7.51e+00    8.57e+00      1.22e-01    1.22e-01      2.38e-01    2.71e-01    1.0e-03
   3000      7.48e+00    6.24e+00      3.54e-02    4.09e-02      2.37e-01    1.97e-01    1.0e-03
   4000      7.19e+00    6.98e+00      9.02e-02    9.20e-02      2.27e-01    2.21e-01    1.0e-03
   5000      2.85e+00    2.89e+00      1.23e-02    1.91e-02      2.11e-01    2.14e-01    1.8e-04
   6000      2.54e+00    2.41e+00      8.56e-03    8.36e-04      1.88e-01    1.79e-01    1.8e-04
   7000      2.60e+00    2.83e+00      6.27e-03    3.10e-03      1.93e-01    2.10e-01    1.8e-04
   8000      2.81e+00    2.52e+00      6.95e-03    2.02e-03      2.09e-01    1.87e-01    1.8e-04
   9000      2.60e+00    3.24e+00      4.95e-03    1.52e-02      1.93e-01    2.40e-01    1.8e-04
  10000      1.05e+00    1.07e+00      1.07e-02    1.05e-02      1.81e-01    1.84e-01    3.3e-05
  11000      1.36e+00    1.09e+00      1.57e-03    1.04e-03      2.35e-01    1.88e-01    3.3e-05
  12000      1.34e+00    1.36e+00      6.80e-03    2.05e-03      2.31e-01    2.34e-01    3.3e-05
  13000      1.16e+00    1.38e+00      2.36e-03    3.27e-04      2.00e-01    2.38e-01    3.3e-05
  14000      1.18e+00    1.05e+00      4.04e-03    4.97e-03      2.03e-01    1.80e-01    3.3e-05
  15000      5.33e-01    6.07e-01      2.01e-03    9.33e-03      2.02e-01    2.29e-01    5.9e-06
  16000      4.75e-01    5.39e-01      1.17e-03    1.86e-03      1.80e-01    2.05e-01    5.9e-06
  17000      5.92e-01    4.65e-01      2.48e-03    4.71e-05      2.25e-01    1.77e-01    5.9e-06
  18000      5.21e-01    4.73e-01      3.80e-04    4.35e-03      1.98e-01    1.79e-01    5.9e-06
  19000      4.32e-01    4.16e-01      1.26e-03    1.95e-03      1.64e-01    1.58e-01    5.9e-06
  20000      2.89e-01    3.15e-01      3.19e-03    2.80e-04      2.00e-01    2.19e-01    1.1e-06
  21000      2.75e-01    2.60e-01      9.89e-04    1.89e-03      1.91e-01    1.80e-01    1.1e-06
  22000      2.80e-01    2.90e-01      8.32e-04    3.21e-03      1.95e-01    2.01e-01    1.1e-06
  23000      2.71e-01    3.20e-01      7.03e-04    7.27e-03      1.88e-01    2.19e-01    1.1e-06
  24000      3.21e-01    2.69e-01      9.37e-04    3.37e-03      2.23e-01    1.86e-01    1.1e-06
  25000      2.81e-01    2.39e-01      2.88e-03    3.72e-03      2.56e-01    2.17e-01    1.9e-07
  26000      2.24e-01    1.72e-01      4.21e-03    1.43e-03      2.03e-01    1.57e-01    1.9e-07
  27000      2.12e-01    1.89e-01      3.49e-03    5.60e-04      1.92e-01    1.73e-01    1.9e-07
  28000      2.63e-01    2.09e-01      3.76e-03    4.25e-03      2.39e-01    1.89e-01    1.9e-07
  29000      2.24e-01    1.72e-01      3.55e-04    1.81e-03      2.05e-01    1.57e-01    1.9e-07
  30000      1.92e-01    1.92e-01      2.10e-03    2.80e-03      1.88e-01    1.88e-01    3.5e-08
